idiom,dict_page,pdf_page,raw_entry_head
mix someone or something up,271,286,mix someone or something up 1.
a mixed bag,271,286,a mixed bag
the moment everyone has been waiting for,271,286,the moment everyone has been waiting for
the moment of truth,271,286,the moment of truth
Money burns a hole in someone’s pocket.,271,286,Money burns a hole in someone’s pocket.
Money is no object.,271,286,Money is no object. and Expense is no object.
Expense is no object.,271,286,Money is no object. and Expense is no object.
Money is the root of all evil.,271,286,Money is the root of all evil.
money talks,271,286,money talks
monkey business,271,286,monkey business
monkey suit,271,286,monkey suit
mop the floor up with someone,271,286,mop the floor up with someone
mope around,271,286,mope around
more and more,272,287,more and more
more dead than alive,272,287,more dead than alive
more often than not,272,287,more often than not
more or less,272,287,more or less
more someone or something than one can shake a stick at,272,287,more someone or something than one can shake a stick at
more than one can bear,272,287,more than one can bear and more than one can take; more than one can stand
more than one can take,272,287,more than one can bear and more than one can take; more than one can stand
more than one can stand,272,287,more than one can bear and more than one can take; more than one can stand
more than someone bargained for,272,287,more than someone bargained for
the more the merrier,272,287,the more the merrier
more (to something) than meets the eye,272,287,more (to something) than meets the eye
the morning after (the night before),272,287,the morning after (the night before)
move heaven and earth to do something,272,287,move heaven and earth to do something
move in (on someone or something),272,287,move in (on someone or something) 1.
move into something,272,287,move into something
move up (in the world),273,288,move up (in the world)
movers and shakers,273,288,movers and shakers
much ado about nothing,273,288,much ado about nothing
much in evidence,273,288,much in evidence
much sought after,273,288,much sought after
muddy the water,273,288,muddy the water
mull something over,273,288,mull something over
mum’s the word,273,288,mum’s the word
murder on something,273,288,murder on something
muscle in (on someone or something),273,288,muscle in (on someone or something)
muster (up) one’s courage,273,288,muster (up) one’s courage
my gut tells me (that) something is so,273,288,my gut tells me (that) something is so
my one and only,273,288,my one and only
nail in someone’s or something’s coffin,274,289,nail in someone’s or something’s coffin
nail someone or something down,274,289,nail someone or something down 1.
naked as a jaybird,274,289,naked as a jaybird
the naked eye,274,289,the naked eye
the name of the game,274,289,the name of the game
name someone after someone else,274,289,name someone after someone else and name someone for someone else
name someone for someone else,274,289,name someone after someone else and name someone for someone else
near at hand,274,289,near at hand
neat as a pin,274,289,neat as a pin
neck and neck,274,289,neck and neck
need something like a hole in the head,274,289,need something like a hole in the head
need something yesterday,274,289,need something yesterday
neither fish nor fowl,274,289,neither fish nor fowl
neither here nor there,274,289,neither here nor there
neither hide nor hair,274,289,neither hide nor hair
never fear,275,290,never fear
never had it so good,275,290,never had it so good
never in one’s life,275,290,never in one’s life
never mind,275,290,never mind
never would have guessed,275,290,never would have guessed 1.
new ball game,275,290,new ball game
new blood,275,290,new blood
new hire,275,290,new hire
a new lease on life,275,290,a new lease on life
new to (all) this,275,290,new to (all) this
next-door neighbor,275,290,next-door neighbor
next of kin,275,290,next of kin
next to nothing,275,290,next to nothing
next to someone or something,275,290,next to someone or something
nice and some quality,275,290,nice and some quality
nickel and dime someone,275,290,nickel and dime someone
a night on the town,275,290,a night on the town
night owl,275,290,night owl
a nine days’ wonder,275,290,a nine days’ wonder
